3 -1.57232
4 -1.69601
5 -0.996341
6 -1.04689
7 -0.750152
8 -0.772379
9 -0.607762
10 -0.619337
11 -0.514071
12 -0.5217550414 
13 -0.4467188160 
14 -0.4513105504 
15 -0.3958959702 
16 -0.3991755651 
17 -0.3563709088 
18 -0.3586471302 
19 -0.3244961860 
20 -0.3262561091 
21 -0.2981816675 
22 -0.2993355439 
23 -0.2761528963 
24 -0.2771988347 
25 -0.2573399283 
26 -0.2576770594 
27 -0.2409730155 
28 -0.2414276217 
29 -0.2268441486 
30 -0.2268345416 
31 -0.2142431262 
32 -0.2146374987 
33 -0.2029872983 
34 -0.2031475163 
35 -0.1932309620 
36 -0.1934153032 
37 -0.1841580022 
38 -0.1842365688 
39 -0.1762790151 
40 -0.1758131291 
41 -0.1688138416 
42 -0.1685587927 
43 -0.1620611903 
44 -0.1619881746 
45 -0.1556812180 
46 -0.1557726530 
47 -0.1499727648 
48 -0.1499316286 
49 -0.1447782255 
50 -0.144569
60 -0.123185
70 -0.107598
80 -0.0956272
90 -0.0860726
100 -0.07849
110 -0.0721891
120 -0.0669492
130 -0.062292
140 -0.0583885
150 -0.0550548
160 -0.0518769
170 -0.0491882
180 -0.0468105
190 -0.044564
200 -0.0426448
210 -0.0408189
220 -0.0391808
230 -0.0375467
240 -0.0362511
250 -0.0349122
260 -0.0337309
270 -0.0326865
280 -0.0316252
290 -0.0305848
300 -0.0297385
310 -0.0289215
320 -0.028089
330 -0.0272942
340 -0.0266613
350 -0.0258799
360 -0.0251629
370 -0.0245913
380 -0.0241058
390 -0.0235484
400 -0.0229341
410 -0.0224716
420 -0.021995
430 -0.021546
440 -0.0211365
450 -0.020678
460 -0.0203337
470 -0.0198786
480 -0.0195155
490 -0.0191862
500 -0.0188397
600 -0.0160106
700 -0.0139407
800 -0.0123346680
900 -0.0110830764
1000 -0.0101068285
